State,Prediction
Michigan,27.0
Pennsylvania,30.0
Georgia,40.0
Tennessee,17.0
Alabama,22.0
Indiana,18.0
Colorado,47.0
Wisconsin,2.0
United States,24.0
Washington,48.0
Idaho,36.0
Virginia,50.0
New Hampshire,41.0
Nebraska,4.0
South Carolina,34.0
Wyoming,11.0
Missouri,26.0
New Jersey,28.0
Minnesota,13.0
Florida,39.0
Illinois,25.0
Arkansas,5.0
Mississippi,9.0
Montana,12.0
New Mexico,32.0
North Dakota,8.0
Nevada,35.0
West Virginia,6.0
Arizona,45.0
Delaware,42.0
North Carolina,29.0
Connecticut,23.0
South Dakota,20.0
Alaska,31.0
Kansas,19.0
Maryland,49.0
Iowa,1.0
Oregon,38.0
Massachusetts,46.0
Utah,43.0
Ohio,21.0
Hawaii,10.0
Maine,7.0
California,37.0
Oklahoma,15.0
Kentucky,3.0
New York,33.0
Louisiana,14.0
Texas,44.0
Vermont,16.0
